feminine,masculine,english
actrice,acteur,actor
administratrice,administrateur,administrator
agricultrice,agriculteur,farmer
ambassadrice,ambassadeur,ambassador
animatrice,animateur,host/animator
apicultrice,apiculteur,beekeeper
apprentie,apprenti,apprentice
artisane,artisan,artisan
assistante,assistant,assistant
attachée,attaché,attaché
autrice,auteur,author
avocate,avocat,lawyer
banquière,banquier,banker
bergère,berger,shepherd
bijoutière,bijoutier,jeweler
boulangère,boulanger,baker
bouchère,boucher,butcher
brasseuse,brasseur,brewer
caissière,caissier,cashier
carreleuse,carreleur,tiler
chanteuse,chanteur,singer
charcutière,charcutier,charcutier
chargée de clientèle,chargé de clientèle,account manager
charpentière,charpentier,carpenter
chauffeuse,chauffeur,driver
cheffe,chef,chef
chercheuse,chercheur,researcher
chirurgienne,chirurgien,surgeon
coiffeuse,coiffeur,hairdresser
collaboratrice,collaborateur,collaborator
comédienne,comédien,comedian/performer
commerçante,commerçant,shopkeeper/trader
communicante,communicant,communications professional
conductrice,conducteur,driver/operator
conseillère,conseiller,advisor
conservatrice,conservateur,curator/conservator
consultante,consultant,consultant
conteuse,conteur,storyteller
contrôleuse,contrôleur,controller/inspector
cuisinière,cuisinier,cook
danseuse,danseur,dancer
décoratrice,décorateur,decorator
défenseuse,défenseur,defender
déléguée,délégué,delegate
députée,député,member of parliament
dessinatrice,dessinateur,illustrator/draftsperson
directrice,directeur,director
docteure,docteur,doctor
écrivaine,écrivain,writer
éducatrice,éducateur,educator
électricienne,électricien,electrician
éleveuse,éleveur,livestock breeder
employée,employé,employee
enquêtrice,enquêteur,investigator
entraîneuse,entraîneur,coach/trainer
entrepreneuse,entrepreneur,entrepreneur
équipière,équipier,crew member
étudiante,étudiant,student
factrice,facteur,mail carrier
fermière,fermier,farmer
formatrice,formateur,trainer
gardienne,gardien,guard/caretaker
gérante,gérant,manager
greffière,greffier,court clerk
guichetière,guichetier,ticket clerk
historienne,historien,historian
horticultrice,horticulteur,horticulturist
illustratrice,illustrateur,illustrator
infirmière,infirmier,nurse
ingénieure,ingénieur,engineer
inspectrice,inspecteur,inspector
institutrice,instituteur,primary school teacher
jardinière,jardinier,gardener
joueuse,joueur,player
laborantine,laborantin,lab assistant
lectrice,lecteur,reader/lecturer
livreuse,livreur,delivery person
maçonne,maçon,mason
magasinière,magasinier,warehouse worker/storekeeper
mairesse,maire,mayor
maîtresse,maître,teacher/master
masseuse,masseur,masseur/massage therapist
mécanicienne,mécanicien,mechanic
médiatrice,médiateur,mediator
menuisière,menuisier,joiner/carpenter
militante,militant,activist
monitrice,moniteur,instructor/monitor
musicienne,musicien,musician
nageuse,nageur,swimmer
négociatrice,négociateur,negotiator
opératrice,opérateur,operator
ouvrière,ouvrier,worker
pâtissière,pâtissier,pastry chef
pharmacienne,pharmacien,pharmacist
physicienne,physicien,physicist
plombière,plombier,plumber
policière,policier,police officer
politicienne,politicien,politician
pompière,pompier,firefighter
préfète,préfet,prefect
